Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21559143,Ender's Game Alive the Full-Cast Audioplay,Orson Scott Card,"Card, Orson Scott",,"=""1480595063""","=""9781480595064""",0,4.20,Brilliance Audio,Audiobook,,2014,2013,,2022/10/11,,,read,,,,1,0
26082916,"Ready Player Two (Ready Player One, #2)",Ernest Cline,"Cline, Ernest",,"=""1524761338""","=""9781524761332""",5,3.43,Ballantine Books,Hardcover,370,2020,2020,,2018/02/24,,,read,,,,1,0
59609035,The Memory Index,Julian R. Vaca,"Vaca, Julian R.",,"=""""","=""""",0,3.96,Thomas Nelson,Hardcover,384,2022,2022,,2022/09/30,to-read,to-read (#47),to-read,,,,0,0
42975172,"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",0,4.20,Nan A. Talese,Hardcover,422,2019,2019,,2022/09/30,to-read,to-read (#46),to-read,,,,0,0
56179338,"All of Us Villains (All of Us Villains, #1)",Amanda Foody,"Foody, Amanda",Christine Lynn Herman,"=""1250789257""","=""9781250789259""",0,3.94,Tor Teen,Hardcover,400,2021,2021,,2022/09/30,to-read,to-read (#45),to-read,,,,0,0
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",0,3.83,Scholastic Press,Kindle Edition,541,2020,2020,,2022/09/30,"currently-reading, e-shelf, fiction","currently-reading (#1), e-shelf (#43), fiction (#142)",currently-reading,,,,1,0
12951631,Breaking The Habit of Being Yourself: How to Lose Your Mind and Create a New One,Joe Dispenza,"Dispenza, Joe",,"=""1401938086""","=""9781401938086""",0,4.12,Hay House,Hardcover,329,2012,2012,,2022/03/11,to-read,to-read (#44),to-read,,,,0,0
474564,"Mavericks of Medicine: Exploring the Future of Medicine with Andrew Weil, Jack Kevorkian, Bernie Siegel, Ray Kurzweil & Others",David Jay Brown,"Brown, David Jay",,"=""1890572195""","=""9781890572198""",0,3.44,Smart Publications,Paperback,354,2006,2006,,2022/03/11,to-read,to-read (#43),to-read,,,,0,0
58155179,"Time Before Time, Vol. 1",Declan Shalvey,"Shalvey, Declan","Rory McConville, Joe Palmer, Chris O'Halloran","=""1534320067""","=""9781534320062""",0,3.77,Image Comics,Paperback,136,2021,2021,,2022/01/01,to-read,to-read (#42),to-read,,,,0,0
6690798,"The Passage (The Passage, #1)",Justin Cronin,"Cronin, Justin",,"=""0345504968""","=""9780345504968""",0,4.04,Ballantine Books,Hardcover,766,2010,2010,,2021/12/18,to-read,to-read (#41),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",4,4.08,Tor Books,Hardcover,399,2014,2006,2021/12/18,2021/01/12,,,read,,,,1,0
55003957,"Day Zero (Sea of Rust, #0)",C. Robert Cargill,"Cargill, C. Robert",,"=""0062405802""","=""9780062405807""",0,4.02,Harper Voyager,Hardcover,304,2021,2021,,2021/07/15,to-read,to-read (#40),to-read,,,,0,0
53205794,"The Last Watch (The Divide, #1)",J.S. Dewes,"Dewes, J.S.",,"=""1250236347""","=""9781250236340""",0,3.96,Tor Books,Paperback,480,2021,2021,,2021/07/15,to-read,to-read (#39),to-read,,,,0,0
53205922,Remote Control,Nnedi Okorafor,"Okorafor, Nnedi",,"=""125077280X""","=""9781250772800""",0,3.86,Tordotcom,Hardcover,160,2021,2021,,2021/07/15,to-read,to-read (#38),to-read,,,,0,0
53205912,Winter's Orbit,Everina Maxwell,"Maxwell, Everina",,"=""1250758831""","=""9781250758835""",0,4.02,Tor Books,Hardcover,432,2021,2021,,2021/07/15,to-read,to-read (#37),to-read,,,,0,0
52379735,The Echo Wife,Sarah Gailey,"Gailey, Sarah",,"=""125017466X""","=""9781250174666""",0,3.62,Tor Books,Hardcover,256,2021,2021,,2021/07/15,to-read,to-read (#36),to-read,,,,0,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,4.52,Ballantine Books,Hardcover,476,2021,2021,,2021/07/15,to-read,to-read (#35),to-read,,,,0,0
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu","Eisso Post, Joel Martinsen, Bruno Roubicek, Richard Heufkens","=""""","=""""",0,4.41,Tor Books,Hardcover,512,2015,2008,,2021/07/15,to-read,to-read (#34),to-read,,,,0,0
597549,Little Women,Louisa May Alcott,"Alcott, Louisa May",,"=""014131172X""","=""9780141311722""",0,3.97,Puffin,Paperback,336,2005,,,2018/02/18,"unclassified-exclusive, fiction","unclassified-exclusive (#43), fiction (#55)",unclassified-exclusive,,,,0,0
110824,The Annotated Pride and Prejudice,Jane Austen,"Austen, Jane",David M. Shapard,"=""0307278107""","=""9780307278104""",0,4.28,Anchor,Paperback,780,2007,1813,,2018/02/18,"unclassified-exclusive, fiction","unclassified-exclusive (#58), fiction (#75)",unclassified-exclusive,,,,0,0
1063179,Emma,Jane Austen,"Austen, Jane","Nicola Bradbury, Hugh  Thomson","=""""","=""""",0,4.04,Wordsworth Editions,Paperback,393,1992,1815,,2018/02/26,"unclassified-exclusive, fiction","unclassified-exclusive (#88), fiction (#126)",unclassified-exclusive,,,,0,0
158770,Three Kingdoms (4-Volume Boxed Set),Luo Guanzhong,"Guanzhong, Luo",Moss Roberts,"=""7119005901""","=""9787119005904""",0,4.37,Foreign Language Press,Paperback,2339,2008,1522,,2020/05/22,to-read,to-read (#33),to-read,,,,0,0
43797895,The Worldship Humility (The Code Trilogy #1),R.R. Haywood,"Haywood, R.R.",Colin Morgan,"=""""","=""""",0,4.27,Audible Studios,Audible Audio,,2019,2019,,2020/05/16,,,read,,,,1,0
